Id,weekly_self_study_hours,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,Grade,Gender,Email
1,27,73,81,93,97,63,80,87,Good,Male,student1@gmail.com
2,47,90,86,96,100,90,88,90,Excellent,Male,student2@gmail.com
3,13,81,97,95,96,65,77,94,Good,Female,student3@gmail.com
4,3,71,74,88,80,89,63,86,Good,Female,student4@gmail.com
5,10,84,77,65,65,80,74,76,Good,Female,student5@gmail.com
6,26,93,100,67,78,72,80,84,Good,Male,student6@gmail.com
7,23,99,96,97,73,88,76,64,Good,Female,student7@gmail.com
8,34,95,95,82,63,84,70,85,Good,Female,student8@gmail.com
9,25,94,68,94,85,81,74,72,Good,Female,student9@gmail.com
10,18,98,69,88,71,67,71,73,Good,Female,student10@gmail.com
11,7,65,60,97,94,71,81,66,Good,Female,student11@gmail.com
12,7,80,61,100,65,87,64,61,Good,Female,student12@gmail.com
13,4,94,59,69,67,89,65,73,Good,Female,student13@gmail.com
14,2,66,94,86,100,57,90,63,Good,Female,student14@gmail.com
15,39,96,90,86,92,92,95,87,Excellent,Male,student15@gmail.com
16,0,94,50,78,64,79,74,84,Good,Male,student16@gmail.com
17,30,92,64,93,91,80,89,72,Good,Male,student17@gmail.com
18,28,86,83,85,79,93,76,77,Good,Female,student18@gmail.com
19,37,92,87,92,99,97,87,86,Excellent,Male,student19@gmail.com
20,27,99,65,98,75,66,72,100,Good,Male,student20@gmail.com
21,15,100,90,72,98,73,97,72,Good,Female,student21@gmail.com
22,4,57,55,78,94,83,88,88,Good,Female,student22@gmail.com
23,2,89,72,68,72,71,54,90,Good,Female,student23@gmail.com
24,1,50,76,81,55,56,80,79,Average,Male,student24@gmail.com
25,35,87,91,90,88,95,88,93,Excellent,Male,student25@gmail.com
26,22,92,86,87,81,93,90,99,Good,Male,student26@gmail.com
27,34,100,77,80,94,63,90,90,Good,Female,student27@gmail.com
28,23,64,75,93,79,81,96,85,Good,Male,student28@gmail.com
29,17,79,65,99,71,76,77,83,Good,Male,student29@gmail.com
30,19,82,100,61,97,30,74,73,Good,Female,student30@gmail.com
31,14,88,69,87,100,88,85,72,Good,Female,student31@gmail.com
32,30,70,68,92,74,82,85,72,Good,Female,student32@gmail.com
33,30,77,96,98,89,85,62,62,Good,Female,student33@gmail.com
34,24,99,84,84,78,78,77,68,Good,Female,student34@gmail.com
35,31,90,93,91,80,86,69,62,Good,Female,student35@gmail.com
36,21,65,70,78,98,80,66,65,Good,Male,student36@gmail.com
37,19,99,94,87,71,89,91,96,Good,Male,student37@gmail.com
38,29,92,100,85,89,81,91,88,Excellent,Female,student38@gmail.com
39,21,77,64,64,88,94,82,78,Good,Male,student39@gmail.com
40,18,92,60,66,87,60,83,95,Good,Male,student40@gmail.com
41,31,85,97,64,90,79,81,81,Good,Male,student41@gmail.com
42,4,65,55,66,50,88,56,86,Average,Male,student42@gmail.com
43,3,93,94,92,77,87,98,63,Good,Male,student43@gmail.com
44,3,97,99,85,96,91,68,66,Good,Female,student44@gmail.com
45,3,54,99,79,57,53,95,83,Good,Male,student45@gmail.com
46,5,88,53,50,58,84,53,96,Average,Female,student46@gmail.com
47,27,71,85,93,68,100,91,87,Good,Female,student47@gmail.com
48,28,81,98,74,70,97,65,65,Good,Female,student48@gmail.com
49,32,80,78,86,80,64,68,100,Good,Female,student49@gmail.com
50,14,100,89,90,93,30,83,74,Good,Female,student50@gmail.com
51,16,76,72,96,65,89,87,94,Good,Female,student51@gmail.com
52,24,99,81,73,70,85,86,61,Good,Male,student52@gmail.com
53,0,64,70,61,81,82,51,70,Average,Male,student53@gmail.com
54,32,90,96,86,61,89,98,68,Good,Female,student54@gmail.com
55,3,85,100,92,68,60,77,83,Good,Male,student55@gmail.com
56,31,91,60,84,88,76,71,99,Good,Male,student56@gmail.com
57,21,95,72,79,86,87,81,62,Good,Male,student57@gmail.com
58,18,94,78,73,97,67,78,99,Good,Female,student58@gmail.com
59,26,94,89,64,96,91,95,77,Good,Male,student59@gmail.com
60,23,89,99,90,79,85,96,98,Excellent,Female,student60@gmail.com
61,1,91,81,88,71,78,83,76,Good,Female,student61@gmail.com
